Source,Council Member,Legal Name of Organization,EIN,Status,Amount ($,Agency,Program Name,Address,Address 2 (optional,City,State,Zip Code,Purpose of Funds,Fiscal Conduit Name,FC EIN
AGING,Miller,Calvary Baptist Church,112480945,,5000,DFTA,,111-10 Guy R Brewer Blvd,,Jamaica,NY,11433,Funds will cover the  programming and staffing costs associated with the Grandparent Support Group.,,
AGING,CD28,Calvary Baptist Church,112480945,,11000,DFTA,,111-10 Guy R Brewer Blvd,,Jamaica,NY,11433,The funding will go towards the Grandparents support group that strives to provide events and activities for grandparents who are raising grandchildren.,,
LOCAL,Richards,"CAMBA, Inc.",112480339,,5000,DYCD,,1720 Church Avenue,,Brooklyn,NY,11226,To support the Arverne View Security Guard Academy – CAMBA seeks to offer Security Guard training to clients in Arverne View on the Rockaway Peninsula as a new component of the Arverne View Recovery Project.  ,,
YOUTH,Lander,"CAMBA, Inc.",112480339,,5000,DYCD,,1720 Church Avenue,,Brooklyn,NY,11226,"To support the Youth Empowerment Program at PS 269.  Funding will pay for annual youth leadership retreat, career and college advisement and other program activities.",,
LOCAL,Williams,"CAMBA, Inc.",112480339,,3500,DYCD,,1720 Church Avenue,,Brooklyn,NY,11226,"Funds to provide outreach for the identification, screening, assessment and referral process for preconception, pregnant and interconception women and families with infants who are at risk for poor birth outcomes.",,
LOCAL,Williams,"CAMBA, Inc.",112480339,,5000,DYCD,,1720 Church Avenue,,Brooklyn,NY,11226,Funds to support services provided at Beacon 269 in Brooklyn.,,
AGING,Dickens,Canaan Baptist Church of Christ,136013037,*,5000,DFTA,,132 West 116th Street,New York,New York,,10026,To provide computer and other classes for the elderly population in the Harlem and surrounding communities.,,
LOCAL,Gibson,Capitol District Management Association,270699754,,8000,DYCD,,900 Grand Concourse,,Bronx,NY,10451,"The funds will be used for the BIDs Youth Ambassadors program.
  Youth Ambassadors serve as neighborhood guides by providing directions to tourists, distribute maps and souvenirs to visitors, serve as greeters for The Bronx, maintain the Stadium Community Gardens as a public meeting space and facilitate special events like street fairs and block parties.",,
LOCAL,Eugene,"Caribbean American Center of New York, Inc.",133443781,*,5000,DYCD,,195 Cadman Plaza West,,Brooklyn,NY,11201,"To support operational costs of the CACNY Youth Ambassador Mentoring  Training Program, which provides basic educational support services, including SAT/REGENT Prep, job preparation skills leading up to summer jobs, internship placement and community service opportunities for teens.",,
LOCAL,Miller,Caribbean American Repertory Theatre,112972441,,5000,DCLA,,114-13 Ovid Place,,Saint Albans,NY,11412, Funding for the support of our production of two plays: Love Is and Sizwe Banzi Is Dead . Funds will be used to support space rental costs and artists fees. ,,
LOCAL,Williams,Caribbean American Repertory Theatre,112972441,,3500,DCLA,,114-13 Ovid Place,,Saint Albans,NY,11412,"Funding to support upcoming productions, funds will be used to offset cost of items such as space rental costs and artists fees.",,
LOCAL,Eugene,"Caribbean American Sports and Cultural Youth Movement (CASYM, Inc.)",112778372,,5000,DYCD,,249 STERLING STREET,,BROOKLYN,NY,11225,"To provide cultural programming throughout Brooklyn, and support the operational costs of the program.  ",,
LOCAL,Williams,"Caribbean American Sports and Cultural Youth Movement (CASYM, Inc.)",112778372,,3500,DYCD,,249 STERLING STREET,,BROOKLYN,NY,11225,"Funding to maintain cultural awareness, equipment purchases, staff support, provide a teen dance group, and rental space.",,
YOUTH,Williams,"Caribbean American Sports and Cultural Youth Movement (CASYM, Inc.)",112778372,,5000,DYCD,,249 STERLING STREET,,BROOKLYN,NY,11225,"Funds to maintain cultural awareness, equipment purchases, staff support, provide a teen dance group, and rental space.",,
LOCAL,Cumbo,"Caribbean Research Center at Medgar Evers College, The",112631618,*,7500,DYCD,,1150 Carroll Street Room C-312,,Brooklyn,NY,11225-2201,Funds will be used to conduct various research projects.,,
LOCAL,Eugene,"Caribbean Research Center at Medgar Evers College, The",112631618,,0,DYCD,,1150 Carroll Street Room C-312,,Brooklyn,NY,11225-2201,"To support operational costs of various research projects related to immigrant communities, sustainable development, civic engagement, Diaspora relationships/dynamics, occupation training, cultural assimilation, community-based opinion polling, social economics, demographic shifts, and political dynamics of the Caribbean American Community.",,
LOCAL,Williams,"Caribbean Research Center at Medgar Evers College, The",112631618,*,3500,DYCD,,1150 Carroll Street Room C-312,,Brooklyn,NY,11225-2201,Funding to conduct various research projects,,
LOCAL,Williams,"Caribbean Women's Health Association, Inc.",133323168,,3500,DYCD,,3512 Church Ave,,Brooklyn,NY,11203," Funds to support a new anti-violence project, includes training for youth service providers",,
LOCAL,Eugene,"Caribbean-American Research Foundation, Inc.",113631557,*,8000,DYCD,,1150 Carroll Street,,Brooklyn,NY,11225,"To support 1) printing and dissemination of publications supporting the following:  Orientation of new arrivals into the Community, Legal and Immigration concerns, Education for Success, Discipline and Self-Esteem, Understanding the Testing and Assessment in the School System, College Preparation/Career Selection, Health Services, Reunification of Families, Child Neglect, Abuse and Foster Care, Community Services, Effective Political Representation. 2) A Parent Empowerment Program with workshops in all of the above divided into three segments:  Traditional Support; Consciousness-Raising; and Community Activism.",,
AGING,Matteo,"Carmel Richmond Nursing Home, Inc.",132720248,,3000,DFTA,,88 Old Town Road,0,Staten Island,NY,10304,"Carmel Richmond Health Care and Rehabilitation Center is requesting funds to purchase Broda chairs and new wall clocks for nursing home residents. The Broda chairs can be positioned in various ways to meet the unique needs of nursing home residents with advanced dementia and other neurodegenerative diseases when standard chairs and wheelchairs can no longer safely or comfortably accommodate a resident. The positioning capabilities of these chairs reduces pressure on skin and potential for skin breakdown as well as fall risk, and assists staff in transferring and repositioning residents. Additionally, the nursing home hopes to purchase new wall clocks for units that clearly display the time with large numbers, as well as day, date and month. In addition to being more readable, the clocks help nursing home residents stay oriented.",,
LOCAL,Dromm,"Carnegie Hall Corporation, The",131923626,,5000,DCLA,,881 Seventh Ave,,New York,NY,10019-3210,Provide two choral workshops for court-involved young people in secure detention facilities ,,
LOCAL,Cabrera,"Carnegie Hall Corporation, The",131923626,,5000,DCLA,,881 Seventh Ave,,New York,NY,10019-3210,"Funding to support 6 projects for court-involved youth, in partnership with the Administration of Children's Services. Two of these projects will be two week intensive choral workshops in secure detention settings. Each workshop includes: 9 training sessions; 2 compositions sessions; 2 dress rehearsals; a final concert for the facility and participants' families and; a post-project reflection session. The four additional workshops focusing on composition will take place in non-secure placement facilities. They include: 12 weekly songwriting sessions; a launch concert; 2 rehearsals; a final concert; a recording session. Participants completing these projects receive a half of a general elected high school credit from the Department of Education and letters for their case files.",,
LOCAL,Garodnick,"Carnegie Hall Corporation, The",131923626,,3500,DCLA,,881 Seventh Ave,,New York,NY,10019-3210," Funding will support free public Carnegie Hall music events, including outreach to hospitals and senior centers.",,
LOCAL,Palma,"Carnegie Hall Corporation, The",131923626,,5000,DCLA,,881 Seventh Ave,,New York,NY,10019-3210,"To support music programs for court involved juveniles in the Bronx, in secure and non_secure ACS settings that promote connections to family and community. ",,
LOCAL,Johnson,"Carnegie Hall Corporation, The",131923626,,3000,DCLA,,881 Seventh Ave,,New York,NY,10019-3210,To support free CarnegieKids concerts at the Hudson Guild.,,
LOCAL,Rosenthal,"Carnegie Hall Corporation, The",131923626,,3500,DCLA,,881 Seventh Ave,,New York,NY,10019-3210,Funding to support free Carnegie Hall Neighborhood Concerts in District 6.,,
LOCAL,Garodnick,"Carnegie Hill Neighbors, Inc.",133300409,,3500,DYCD,,170 East 91 Street,lower level,New York,NY,10128,"Funding will support operating costs for Carnegie Hill Neighbors, a group that advocates for improvements in the neighborhood and quality of life for residents in Carnegie Hill.",,
LOCAL,Lander,"Carroll Gardens Association, Inc.",112573432,,3500,DSBS,,201 Columbia Street,,Brooklyn,NY,11231,To support strategic planning and assistance for businesses in Columbia Waterfront Carroll Gardens.  ,,
YOUTH,Lander,"Carroll Gardens Association, Inc.",112573432,,3500,DYCD,,201 Columbia Street,,Brooklyn,NY,11231,To support youth programming at annual street fair.,,
LOCAL,Menchaca,"Carroll Gardens Association, Inc.",112573432,,5000,DSBS,,201 Columbia Street,,Brooklyn,NY,11231,Funds to continue and expand the free Entrepreneur Assistance Program which include free workshops and one-on-one counseling; where-in training and technical assistance on a diverse array of topic areas. ,,
AGING,Garodnick,"Carter Burden Center for the Aging, Inc., The",237129499,,5000,DFTA,,1484 First Avenue,,New York,NY,10075-2304,"Funding will support the Carter Burden Luncheon Club & Senior Program, which provides meals, socialization and other activities for seniors.",,
AGING,Kallos,"Carter Burden Center for the Aging, Inc., The",237129499,,30000,DFTA,,1484 First Avenue,,New York,NY,10075-2304,"To support and enhance 10 core programs: the Social Service Unit, Community Elder Mistreatment Abuse Prevention Program, Carter Burden Senior Program, C.V. Starr Adult Day Services, Covello Senior. Program, Volunteer Services, Case Management Unit, Making Art Work, Carter Burden Gallery Cultural Connections to serve greater numbers of elderly, develop new initiatives to meet the needs of a growing and diverse constituency. Services provided include counseling, case assistance, advocacy, information, referral, help with benefit applications, senior center programming, social model adult day, volunteer programs (e.g.., friendly visiting, homebound meal delivery), art craft classes, access to cultural events.",,
AGING,Dickens,"Carter Burden Center for the Aging, Inc., The",237129499,,4500,DFTA,,1484 First Avenue,,New York,,10075-2304,To provide art and crafts classes for seniors in Council District 9. ,,
AGING,Johnson,"Carter Burden Center for the Aging, Inc., The",237129499,,4500,DFTA,,1484 First Avenue,,New York,NY,10075-2304,"Making Art Work empowers and gives the elderly of your community an outlet through art and crafts, stemming isolation and facilitating a meaningful community base.",,
AGING,Rosenthal,"Carter Burden Center for the Aging, Inc., The",237129499,,3500,DFTA,,1484 First Avenue,,New York,NY,10075-2304,"Funding to support Making Art Work, which offers classes to senior centers in Council District 6, including FIND Clinton NSC, FIND Hamilton NSC, Goddard Riverside NSC, JASA Club 76 and West 76th St Center. At regular intervals, Making Art Work staff will help mount exhibitions of recent artwork in your local community senior centers.",,
AGING,Levine,"Carter Burden Center for the Aging, Inc., The",237129499,,3500,DFTA,,1484 First Avenue,,New York,NY,10075-2304,"Funds to conduct seminars on senior safety and related issues for adults 60 and older in Council District 7. Carter Burden Center will provide crisis intervention services including home visits, safety planning, court advocacy, legal guidance, coordination with police and counseling services.",,
AGING,Mark-Viverito,"Carter Burden Center for the Aging, Inc., The",237129499,,10000,DFTA,,1484 First Avenue,,New York,NY,10075-2304,"To support and enhance the following programs: Carter Burden/Leonard Covello Senior program, Elder Abuse Prevention Program, Carter Burden Senior Program, Case Management Unit, C.V. Starr Adult Day Services, Social Service Unit, Volunteer Services, Making Art Work, Carter Burden Gallery & Cultural Connections.",,
