Source,Council Member,Legal Name of Organization,EIN,*,Amount ($,Agency,Program Name,Address,Address 2 (optional,City,State,Zip Code,Purpose of Funds,Fiscal Conduit Name,FC EIN
Local,James,"CAMBA, Inc.",112480339,,"$4,000",DOHMH,,1720 Church Avenue,,Brooklyn,NY,11226,"To provide for the Infant Mortality Reduction Initiative that does outreach concerning preconception, pregnancy assistance, developmental issues and child abuse and neglect.",,
HIV Prevention - Evidence-Based Behavioral Interventions,,"CAMBA, Inc.",112480339,,"$194,000",DOHMH,,,,,,,,,
Out of School Time Restoration,,"CAMBA, Inc.",112480339,,"$398,000",DYCD,P.S. 249 CATON SCHOOL,18 MARLBOROUGH ROAD,,Brooklyn,NY,11226,,,
Out of School Time Restoration,,"CAMBA, Inc.",112480339,,"$430,000",DYCD,P.S. 139 ALEXINE A. FENTY SCHOOL,330 RUGBY ROAD,,Brooklyn,NY,11226,,,
Out of School Time Restoration,,"CAMBA, Inc.",112480339,,"$140,000",DYCD,P.S. 170 LEXINGTON SCHOOL,7109 6 AVENUE,,Brooklyn,NY,11209,,,
Boro,Rose,"Camelot of Staten Island, Inc.",237091329,,"$4,000",DOHMH,,4442 Arthur Kill Road,Suite 4,Staten Island,NY,10309-1321,"To provide support to the population of Staten Island affected by substance and alcohol addiction.  Funding will be used for Camelot’s outreach and public awareness campaign to place ads across Staten Island in local media and newspapers and on billboards, ferries, and buses.",,
Boro,Ignizio,"Camelot of Staten Island, Inc.",237091329,,"$5,000",DOHMH,,4442 Arthur Kill Road,Suite 4,Staten Island,NY,10309-1321,"To support Camelot's outreach/public awareness campaign on the Treatment Works program for addiction recovery, as well as the growing trend of prescription drug misuse.",,
Boro,Oddo,"Camelot of Staten Island, Inc.",237091329,,"$10,000",DOHMH,,4442 Arthur Kill Road,Suite 4,Staten Island,NY,10309-1321,"Funds will support services and activities for clients whose lives have been impacted by addiction through outreach, education, and prevention efforts.  ",,
Local,Mendez,"Campo Misionero Sarepta, Inc.",542117347,,$0,DSS,,250 EAST 3RD STREET,BASEMENT,NEW YORK,NY,10009,The funding will be used to purchase fresh fruits and vegetables for the soup kitchen.,,
Aging,Dickens,Canaan Baptist Church of Christ,136013037,,"$5,000",DFTA,,132 West 116th Street,New York,New York,,10026,To provide computer and other classes for the elderly population in the Harlem and surrounding communities.,,
HIV/AIDS Faith Based Initiative,,Canaan Baptist Church of Christ,136013037,,"$6,400",DOHMH,,,,,,,,,
Runaway and Homeless Youth PEG Restoration,,Cardinal McCloskey Services,131740443,,"$70,000",DYCD,,"333 East 149th Street, 2nd floor",,Bronx,NY,10451,RHY Drop-In Centers::BX,,
Local,Palma,Care For the Homeless,133666994,,"$25,000",DHS,,30 E 33rd Street 5th floor,,New York City,NY,10016-5337,"To provide patient-centered health care, human services and shelter to homeless individuals and families. Funds will be used to engage an Outreach Specialist to work from 17 federally qualified health clinic locations in the Bronx to provide outreach to homeless and recently homeless individuals.",,
Local,Fidler,"Caribbean American Center of New York, Inc.",133443781,,"$2,500",DYCD,,195 Cadman Plaza West,,Brooklyn,,11201,"To help needy youth with improved access to education, training, employment, immigration services, healthcare and other humanitarian issues.  In particular, funds will help programs to prepare students for the SAT and for college, expand CACNY Youth Program (YAMTP) to PS 46 Elementary School  ",,
Youth,Mealy,"Caribbean American Center of New York, Inc.",133443781,,"$3,500",DYCD,,195 Cadman Plaza West,,Brooklyn,NY,11201,To support the Youth Ambassador Mentoring and Training Program (YAMTP) and the Junior YAMTP program. ,,
Local,Eugene,"Caribbean American Center of New York, Inc.",133443781,,"$5,000",DYCD,,195 Cadman Plaza West,,Brooklyn,NY,11201,"To provide basic educational support services, including SAT/REGENT Prep, job preparation skills leading up to summer jobs, internship placement and community service opportunities for teens.",,
Youth,Williams,"Caribbean American Center of New York, Inc.",133443781,,"$3,500",DYCD,,195 Cadman Plaza West,,Brooklyn,NY,11201,"To provide basic educational support services, including SAT/REGENT Prep, job preparation skills leading up to summer jobs, internship placement and community service opportunities for teens.",,
Small Business and Job Development/Financial Literacy,,"Caribbean American Chamber of Commerce and Industry, Inc.",112903423,,"$85,500",DSBS,,,,,,,"Funding will provide technical and financial assistance, business counseling and financial literacy education to entrepreneurs and small businesses.",,
Local,Comrie,Caribbean American Repertory Theatre,112972441,,"$5,000",DCLA,,114-13 Ovid Place,,Saint Albans,NY,11412-2632,To support performances for Black History Month and performances throughout the year.  ,,
Youth,Mealy,"Caribbean American Sports and Cultural Youth Movement (CASYM, Inc.)",112778372,,"$10,000",DYCD,,249 STERLING STREET,,BROOKLYN,NY,11225-4112,"To provide for equipment, staff support, a teen dance group, and space rental.",,
Youth,Eugene,"Caribbean American Sports and Cultural Youth Movement (CASYM, Inc.)",112778372,,"$7,000",DYCD,,249 Sterling Street,,Brooklyn,NY,11225-4112,"To provide cultural programming throughout Brooklyn, and support the operational costs of the program.  ",,
Local,Comrie,"Caribbean Cultural Theatre, Inc.",830508237,*,"$3,500",DYCD,,138 South Oxford Street,,Brooklyn,NY,11217,"To support an annual event featuring Caribbean and Caribbean-American fiction writers and poets, and using the written word as a basis for discussion  of issues of identity, aspiration, heritage and the immigrant experience.  ",,
Local,Williams,Caribbean Women's Health Association,133323168,,"$4,000",DYCD,,3512 Church Avenue,,Brooklyn,NY,11203,"To provide support for an anti-violence program for 8 - 24 year olds in the community. The program will consist of conflict resolution, peer mediation, an interactive conference, and advocate for organizations in East Flatbush to implement a violence exposure screening and referral system.    ",,
Local,Eugene,Caribbean Women's Health Association,133323168,,"$10,000",DOHMH,,3512 Church Ave,,Brooklyn,NY,11203-2804,"To conduct a CDC evidence based intervention at schools, churches in the community for African American women. During group sessions women are trained on ethnic and gender pride, HIV knowledge, and skills training around sexual risk reduction behaviors and decision making, obesity, and preconception health. To provide high risk African American women in Central Brooklyn with the knowledge and tools they need to prepare themselves for a healthy pregnancy and their babies.",,
HIV/AIDS Faith Based Initiative,,Caribbean Women's Health Association,133323168,,"$7,600",DOHMH,,,,,,,,,
HIV Prevention - Evidence-Based Behavioral Interventions,,"Caribbean Women's Health Association, Inc.",133323168,,"$92,000",DOHMH,,,,,,,,,
HIV/AIDS Communities of Color,,"Caribbean Women's Health Association, Inc.",133323168,,"$28,800",DOHMH,,3512 Church Avenue,,Brooklyn,NY,11203,,,
Infant Mortality Reduction,,"Caribbean Women's Health Association, Inc.",133323168,,"$105,389",DOHMH,,3512 Church Avenue,,Brooklyn,NY,11203,,,
Youth,Cabrera,Caribe Baseball Little League Sport Inc.,061714112,,"$5,250",DYCD,,1925 Monterey Ave Apt 5H,,Bronx,NY,10457,"To support little league baseball by defraying the costs of tournaments, uniforms, equipment, awards for participants, and transportation to games. ",,
Local,Rivera,Caribe Baseball Little League Sport Inc.,061714112,,"$5,000",DYCD,,1925 Monterey Ave Apt 5H,,Bronx,NY,10457,Funds will support sports activities specifically baseball for children ages 4-16 and counseling and tutoring ,,
Boro,Brooklyn Delegation,"Carlas Creative Workshop, Inc.",550866773,*,"$4,200",DYCD,,1453 Bedford Avenue,,Brooklyn,NY,11216,"Providing a series of workshops in sewing, draping,textile and purchasing; on HIV/AIDS, obesity, hypertension, self defense, money management and also computer skills. ",,
Local,Oddo,"Carmel Richmond Nursing Home, Inc.",132720248,,"$10,000",DFTA,,88 Old Town Road,,Staten Island,NY,10304,"Carmel Richmond Health Care and Rehabilitation Center is requesting funds for two mobile adaptive computer systems for its nursing home residents. The Center currently employs one such computer which was received in conjunction with a research grant on the technology several years ago.This unique software system, complete with a touch screen, an adaptive keyboard, joystick, and video camera, enables the Therapeutic Recreation staff to match activities to residents’ interests and needs. ",,
Aging,Garodnick,Carnegie Hall Corporation,131923626,,"$3,500",DFTA,,881 Seventh Avenue,,New York,NY,10019,Funding will support concerts by Ensemble ACJW at Lenox Hill Senior Center,,
Local,Comrie,Carnegie Hall Corporation,131923626,,"$3,500",DCLA,,881 Seventh Avenue,,New York,NY,10019,"To support performances at the Jamaica Center for the Performing Arts as part of the Neighborhood Concert Series, which partners with local and community organizations to bring classical, jazz, and world music performers to neighborhoods in all boroughs of New York City.",,
Local,King,Carnegie Hall Corporation,131923626,,"$5,000",DCLA,,881 Seventh Avenue,,New York,NY,10019,"Funds will support Composing Community, an intensive music project at the South Bronx NeON – a community based probation site that serves 6,000 clients throughout the Bronx. CH will work with the Department of Probation to fully integrate music into the NeON by providing: (1) monthly concerts; (2) weekly artist visits and; (3) songwriting workshops for youth clients. ",,
Boro,Brooklyn Delegation,Carnegie Hall Corporation,131923626,,"$3,500",DCLA,,881 Seventh Avenue,,New York,NY,10019,"Funding to support two choral projects and three songwriting projects for an estimated 90 court-involved young people. Each workshop ends with a concert for families, peers and facility staff. In probation settings, concerts are for participants’ families, probation staff, and community members.  Projects will be administered in partnership with the Administration for Children’s Services and the Department of Probation in Harlem, the Bronx and Brooklyn.  ",,
Local,Brewer,Carnegie Hall Corporation,131923626,,"$5,000",DCLA,,881 Seventh Ave,,New York,NY,10019,To support free concerts in Council District 6.,,
Local,Quinn,Carnegie Hall Corporation,131923626,,"$3,000",DCLA,,881 Seventh Avenue,,New York,,10019,To support free CarnegieKids concerts at the Hudson Guild. ,,
Local,Cabrera,Carnegie Hall Corporation,131923626,,"$5,000",DCLA,,881 Seventh Avenue,,New York,NY,10019,To provide music programming at the South Bronx Neighborhood Opportunity Network (NeON).  Funding will support two choral projects and two songwriting projects for court-involved youth.,,
Local,Palma,Carnegie Hall Corporation,131923626,,"$5,000",DCLA,,881 Seventh Avenue,,New York,NY,10019,"To support Composing Community, an intensive music project at the South Bronx NeON, a community based probation site, providing monthly concerts, weekly artist visits and songwriting workshops for youth clients. 
",,
Local,Garodnick,"Carnegie Hill Neighbors, Inc.",133300409,,"$3,500",DYCD,,170 East 91 Street,lower level,New York,NY,10128,"Funding will support operating costs for Carnegie Hill Neighbors, a group that advocates for improvements in the neighborhood and quality of life for residents in Carnegie Hill.",,
Local,Dromm,"Carngie Hall Corporation, The",131923626,,"$5,000",DCLA,,,,,,,"Funds will support two choral projects and three songwriting projects for court-involved young people. Each workshop ends with a concert creating a platform to share the participants' positive work. In secure settings, concerts are for families, peers and facility staff. In probation settings, concerts are for participants' families, probation staff, and community members.",,
